"id","reviewtype_id","category_id","position","title","text"
"1","1","1","0","Client Engagements","Provided high levels of service to clients satisfaction; built client confidence"
"2","1","1","1","Technical Abilities","Possessed technical skills and abilities relevant to business; exhibited technical achievement and technical leadership"
"3","1","1","2","Consulting Skills","Demonstrated written and verbal communication skills and listening skills; was adaptable; handled pressure; shared information and ideas; built strong relationships; recognized opportunities"
"4","1","1","3","Professionalism","Took initiative and maintained a positive outlook; was dependable; committed to career and dedicated to excellence; maintained high personal standards"
"5","1","1","4","Leadership","Made sound judgments and provided clear direction; instilled confidence in others; was consistently successful; worked to build consensus"
"6","1","1","5","Teamwork","Actions and decisions considered the team before self; showed ability to cooperate; committed to Perficient"
"7","1","2","0","Business Development","Colleague is appropriately involved in business development efforts given their level in the company.  List supported BD efforts in comments."
"8","1","2","1","Career Counseling","Colleague is an active participant in the Uplink program, demonstrated by on-time and thorough career documentation.  If the colleague is above a Lead, colleague also participates as a counselor."
"9","1","2","2","Recruiting Assistance","Colleague assists with phone interviews and on-site interviews in support of the recruiting process"
"10","1","2","3","Internal Contributions","Colleague contributes to the development of the business unit through knowledge sharing, culture contributions, or internal projects."
"11","1","2","4","Perficient Basics","Time Reporting and Expense Reporting is on time and error-free; Resume is current and posted in the Resume Repository; colleague has been well-prepared for client interviews"
